"team";"week";"name";"pass";"x";"y";"season";"away_team";"away_score";"home_team";"home_score";"color";"size"
"TB";12;"Tom Brady";"TOUCHDOWN";-4.475020278;0.139400922;2020;"KC";27;"TB";24;4;4
"TB";12;"Tom Brady";"INTERCEPTION";-10.37453931;11.1535114;2020;"KC";27;"TB";24;1;1
"TB";12;"Tom Brady";"INTERCEPTION";-23.45151175;22.15558244;2020;"KC";27;"TB";24;1;1
"TB";12;"Tom Brady";"INCOMPLETE";15.94917679;2.159902597;2020;"KC";27;"TB";24;2;2
"TB";12;"Tom Brady";"INCOMPLETE";-19.83379341;8.709242725;2020;"KC";27;"TB";24;2;2
"TB";12;"Tom Brady";"INCOMPLETE";0.488471884;16.01973214;2020;"KC";27;"TB";24;2;2
"TB";12;"Tom Brady";"INCOMPLETE";25.06384665;30.96935328;2020;"KC";27;"TB";24;2;2
"TB";12;"Tom Brady";"INCOMPLETE";6.790758326;9.235394986;2020;"KC";27;"TB";24;2;2
"TB";12;"Tom Brady";"INCOMPLETE";-20.32411536;28.90668203;2020;"KC";27;"TB";24;2;2
"TB";12;"Tom Brady";"INCOMPLETE";-5.130020332;8.663834951;2020;"KC";27;"TB";24;2;2
"TB";12;"Tom Brady";"INCOMPLETE";25.99293362;16.99332923;2020;"KC";27;"TB";24;2;2
"TB";12;"Tom Brady";"INCOMPLETE";-26.2038372;19.47261905;2020;"KC";27;"TB";24;2;2
"TB";12;"Tom Brady";"INCOMPLETE";-1.386386775;4.939360119;2020;"KC";27;"TB";24;2;2
"TB";12;"Tom Brady";"INCOMPLETE";-21.78801014;11.03928571;2020;"KC";27;"TB";24;2;2
"TB";12;"Tom Brady";"INCOMPLETE";7.286555262;8.395026702;2020;"KC";27;"TB";24;2;2
"TB";14;"Tom Brady";"COMPLETE";-20.21044178;9.188667721;2020;"MIN";14;"TB";26;3;3
"TB";14;"Tom Brady";"COMPLETE";4.496864295;9.404406056;2020;"MIN";14;"TB";26;3;3
"TB";14;"Tom Brady";"COMPLETE";-11.18499892;6.784918107;2020;"MIN";14;"TB";26;3;3
"TB";14;"Tom Brady";"COMPLETE";15.39773274;0.520333211;2020;"MIN";14;"TB";26;3;3
"TB";14;"Tom Brady";"COMPLETE";-6.345887133;4.728244078;2020;"MIN";14;"TB";26;3;3
"TB";14;"Tom Brady";"COMPLETE";-24.97272242;26.29496364;2020;"MIN";14;"TB";26;3;3
"TB";14;"Tom Brady";"COMPLETE";11.75170073;16.43328271;2020;"MIN";14;"TB";26;3;3
"TB";14;"Tom Brady";"COMPLETE";-9.795517176;-3.35835549;2020;"MIN";14;"TB";26;3;3
"TB";14;"Tom Brady";"COMPLETE";-1.134944407;4.494953044;2020;"MIN";14;"TB";26;3;3
"TB";14;"Tom Brady";"COMPLETE";13.10650157;0.198472573;2020;"MIN";14;"TB";26;3;3
"TB";14;"Tom Brady";"COMPLETE";-6.830980863;12.16074145;2020;"MIN";14;"TB";26;3;3
"TB";14;"Tom Brady";"COMPLETE";-12.56604227;6.289214585;2020;"MIN";14;"TB";26;3;3
"TB";14;"Tom Brady";"COMPLETE";11.66426784;-0.86952381;2020;"MIN";14;"TB";26;3;3
"TB";14;"Tom Brady";"TOUCHDOWN";5.177102849;0.198660714;2020;"MIN";14;"TB";26;4;4
"TB";14;"Tom Brady";"TOUCHDOWN";-0.891218823;0.098214286;2020;"MIN";14;"TB";26;4;4
"TB";14;"Tom Brady";"INCOMPLETE";-1.810675876;13.65792411;2020;"MIN";14;"TB";26;2;2
"TB";14;"Tom Brady";"INCOMPLETE";-23.00698157;7.469897959;2020;"MIN";14;"TB";26;2;2
"TB";14;"Tom Brady";"INCOMPLETE";8.471624351;5.36287062;2020;"MIN";14;"TB";26;2;2
"TB";14;"Tom Brady";"INCOMPLETE";-9.168233023;3.109183673;2020;"MIN";14;"TB";26;2;2
"TB";14;"Tom Brady";"INCOMPLETE";-17.46820988;28.5625;2020;"MIN";14;"TB";26;2;2
"TB";14;"Tom Brady";"INCOMPLETE";-2.23733791;21.70535714;2020;"MIN";14;"TB";26;2;2
"TB";14;"Tom Brady";"INCOMPLETE";-8.619817716;3.132697044;2020;"MIN";14;"TB";26;2;2
"TB";14;"Tom Brady";"INCOMPLETE";7.944583524;5.334586466;2020;"MIN";14;"TB";26;2;2
